# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
352 1917.89 -49.4862 0.0505731 2.56231
353 1916.87 -48.4489 0.0507971 2.56094
354 1915.65 -47.2073 0.0510481 2.55933
355 1914.6 -46.1305 0.0512692 2.55792
356 1914.16 -45.6549 0.0513909 2.55733
357 1914.62 -46.1699 0.0513592 2.55795
358 1915.92 -47.5058 0.0511945 2.55968
359 1917.64 -49.2617 0.0509611 2.56198
360 1919.31 -50.9509 0.0507353 2.56421
361 1920.6 -52.231 0.0505719 2.56593
362 1921.35 -52.993 0.050494 2.56693
363 1921.51 -53.155 0.0505136 2.56715
364 1921.09 -52.7389 0.050629 2.56659
365 1920.13 -51.7725 0.050834 2.56531
366 1918.73 -50.3523 0.0511108 2.56344
367 1917.12 -48.7233 0.0514208 2.56128
368 1915.63 -47.2125 0.05171 2.55929
369 1914.61 -46.2088 0.0519185 2.55793
370 1914.28 -45.8845 0.0520161 2.55749
371 1914.54 -46.1659 0.0520139 2.55784
372 1915.12 -46.7648 0.051956 2.55861
373 1915.72 -47.3625 0.0518908 2.55941
374 1916.13 -47.782 0.0518481 2.55996
375 1916.28 -47.9438 0.0518417 2.56017
376 1916.17 -47.835 0.0518736 2.56001
377 1915.82 -47.4644 0.0519407 2.55954
378 1915.29 -46.9486 0.0520289 2.55884
379 1914.65 -46.3212 0.0521294 2.55799
380 1914.01 -45.6603 0.052228 2.55712
381 1913.45 -45.0988 0.052305 2.55638
382 1913.12 -44.7737 0.0523395 2.55593
383 1913.11 -44.7729 0.0523159 2.55593
384 1913.5 -45.1531 0.0522253 2.55645
385 1914.28 -45.9326 0.052067 2.55749
386 1915.42 -47.0805 0.0518481 2.55901
387 1916.85 -48.5361 0.0515795 2.56092
388 1918.48 -50.1776 0.0512798 2.5631
389 1920.19 -51.9001 0.0509702 2.56538
390 1921.81 -53.535 0.0506778 2.56755
391 1923.25 -55.0022 0.0504194 2.56947
392 1924.47 -56.2427 0.0502046 2.57111
393 1925.5 -57.2724 0.0500323 2.57248
394 1926.38 -58.1408 0.0498972 2.57365
395 1927.13 -58.9039 0.0497947 2.57465
396 1927.72 -59.4894 0.049733 2.57545
397 1928.11 -59.891 0.0497178 2.57597
398 1928.2 -59.9735 0.0497673 2.57608
399 1927.85 -59.6574 0.0498963 2.57562
400 1926.94 -58.7584 0.0501278 2.5744
401 1925.33 -57.1643 0.0504769 2.57225
402 1922.98 -54.8307 0.0509456 2.56911
403 1920.08 -51.8966 0.0515029 2.56524
404 1917.26 -49.0105 0.052047 2.56147
405 1915.45 -47.1424 0.0524262 2.55905
406 1915.35 -47.0607 0.0525244 2.55892
407 1916.81 -48.5562 0.0523688 2.56087
408 1919.02 -50.8223 0.0520851 2.56382
409 1921.18 -53.0324 0.0518001 2.5667
410 1922.87 -54.7243 0.0515836 2.56897
411 1924.01 -55.8379 0.0514513 2.57049
412 1924.61 -56.4338 0.0513992 2.57129
413 1924.73 -56.5389 0.0514228 2.57145
414 1924.4 -56.2106 0.0515135 2.57101
415 1923.71 -55.5293 0.051658 2.57009
416 1922.79 -54.6005 0.0518356 2.56886
417 1921.86 -53.6515 0.0520098 2.56761
418 1921.16 -52.9489 0.0521375 2.56668
419 1920.93 -52.7071 0.0521844 2.56637
